AudioName,AudioPath,label
HC_ABLANDADA_0034,data/audios/HC_ABLANDADA_0034.wav,0
HC_PIDIO_0034,data/audios/HC_PIDIO_0034.wav,0
HC_BURRO_0034,data/audios/HC_BURRO_0034.wav,0
HC_E2_0034,data/audios/HC_E2_0034.wav,0
HC_GANGA_0034,data/audios/HC_GANGA_0034.wav,0
HC_I1_0034,data/audios/HC_I1_0034.wav,0
HC_O3_0034,data/audios/HC_O3_0034.wav,0
HC_MANGA_0034,data/audios/HC_MANGA_0034.wav,0
HC_PAN_VINO_0034,data/audios/HC_PAN_VINO_0034.wav,0
HC_O1_0034,data/audios/HC_O1_0034.wav,0
HC_ACAMPADA_0034,data/audios/HC_ACAMPADA_0034.wav,0
HC_A1_0034,data/audios/HC_A1_0034.wav,0
HC_E3_0034,data/audios/HC_E3_0034.wav,0
HC_PERRO_0034,data/audios/HC_PERRO_0034.wav,0
HC_SOMBRA_0034,data/audios/HC_SOMBRA_0034.wav,0
HC_BARBAS_0034,data/audios/HC_BARBAS_0034.wav,0
HC_DIABLO_0034,data/audios/HC_DIABLO_0034.wav,0
HC_I3_0034,data/audios/HC_I3_0034.wav,0
HC_TOMAS_0034,data/audios/HC_TOMAS_0034.wav,0
HC_PATATA_BLANDA_0034,data/audios/HC_PATATA_BLANDA_0034.wav,0
HC_PETACA_BLANCA_0034,data/audios/HC_PETACA_BLANCA_0034.wav,0
HC_I2_0034,data/audios/HC_I2_0034.wav,0
HC_U1_0034,data/audios/HC_U1_0034.wav,0
HC_A3_0034,data/audios/HC_A3_0034.wav,0
HC_CARMEN_0034,data/audios/HC_CARMEN_0034.wav,0
HC_A2_0034,data/audios/HC_A2_0034.wav,0
HC_CALLE_0034,data/audios/HC_CALLE_0034.wav,0
HC_PIDIO_0036,data/audios/HC_PIDIO_0036.wav,0
HC_DIABLO_0036,data/audios/HC_DIABLO_0036.wav,0
HC_A2_0036,data/audios/HC_A2_0036.wav,0
HC_PAN_VINO_0036,data/audios/HC_PAN_VINO_0036.wav,0
HC_PETACA_BLANCA_0036,data/audios/HC_PETACA_BLANCA_0036.wav,0
HC_ABLANDADA_0036,data/audios/HC_ABLANDADA_0036.wav,0
HC_MANGA_0036,data/audios/HC_MANGA_0036.wav,0
HC_TOMAS_0036,data/audios/HC_TOMAS_0036.wav,0
HC_CARMEN_0036,data/audios/HC_CARMEN_0036.wav,0
HC_O1_0036,data/audios/HC_O1_0036.wav,0
HC_BARBAS_0036,data/audios/HC_BARBAS_0036.wav,0
HC_U1_0036,data/audios/HC_U1_0036.wav,0
HC_CALLE_0036,data/audios/HC_CALLE_0036.wav,0
HC_ACAMPADA_0036,data/audios/HC_ACAMPADA_0036.wav,0
HC_A1_0036,data/audios/HC_A1_0036.wav,0
HC_I1_0036,data/audios/HC_I1_0036.wav,0
HC_BURRO_0036,data/audios/HC_BURRO_0036.wav,0
HC_SOMBRA_0036,data/audios/HC_SOMBRA_0036.wav,0
HC_PERRO_0036,data/audios/HC_PERRO_0036.wav,0
HC_GANGA_0036,data/audios/HC_GANGA_0036.wav,0
HC_PATATA_BLANDA_0036,data/audios/HC_PATATA_BLANDA_0036.wav,0
HC_SOMBRA_0045,data/audios/HC_SOMBRA_0045.wav,0
HC_DIABLO_0045,data/audios/HC_DIABLO_0045.wav,0
HC_PATATA_BLANDA_0045,data/audios/HC_PATATA_BLANDA_0045.wav,0
HC_I2_0045,data/audios/HC_I2_0045.wav,0
HC_CARMEN_0045,data/audios/HC_CARMEN_0045.wav,0
HC_GANGA_0045,data/audios/HC_GANGA_0045.wav,0
HC_BURRO_0045,data/audios/HC_BURRO_0045.wav,0
HC_PAN_VINO_0045,data/audios/HC_PAN_VINO_0045.wav,0
HC_E2_0045,data/audios/HC_E2_0045.wav,0
HC_BARBAS_0045,data/audios/HC_BARBAS_0045.wav,0
HC_I1_0045,data/audios/HC_I1_0045.wav,0
HC_U1_0045,data/audios/HC_U1_0045.wav,0
HC_CALLE_0045,data/audios/HC_CALLE_0045.wav,0
HC_A1_0045,data/audios/HC_A1_0045.wav,0
HC_ABLANDADA_0045,data/audios/HC_ABLANDADA_0045.wav,0
HC_TOMAS_0045,data/audios/HC_TOMAS_0045.wav,0
HC_PETACA_BLANCA_0045,data/audios/HC_PETACA_BLANCA_0045.wav,0
HC_O1_0045,data/audios/HC_O1_0045.wav,0
HC_MANGA_0045,data/audios/HC_MANGA_0045.wav,0
HC_A2_0045,data/audios/HC_A2_0045.wav,0
HC_PERRO_0045,data/audios/HC_PERRO_0045.wav,0
HC_O2_0045,data/audios/HC_O2_0045.wav,0
HC_ACAMPADA_0045,data/audios/HC_ACAMPADA_0045.wav,0
HC_PIDIO_0045,data/audios/HC_PIDIO_0045.wav,0
HC_PIDIO_0048,data/audios/HC_PIDIO_0048.wav,0
HC_E2_0048,data/audios/HC_E2_0048.wav,0
HC_ABLANDADA_0048,data/audios/HC_ABLANDADA_0048.wav,0
HC_A1_0048,data/audios/HC_A1_0048.wav,0
HC_CALLE_0048,data/audios/HC_CALLE_0048.wav,0
HC_PATATA_BLANDA_0048,data/audios/HC_PATATA_BLANDA_0048.wav,0
HC_O1_0048,data/audios/HC_O1_0048.wav,0
HC_MANGA_0048,data/audios/HC_MANGA_0048.wav,0
HC_CARMEN_0048,data/audios/HC_CARMEN_0048.wav,0
HC_A2_0048,data/audios/HC_A2_0048.wav,0
HC_BARBAS_0048,data/audios/HC_BARBAS_0048.wav,0
HC_GANGA_0048,data/audios/HC_GANGA_0048.wav,0
HC_TOMAS_0048,data/audios/HC_TOMAS_0048.wav,0
HC_DIABLO_0048,data/audios/HC_DIABLO_0048.wav,0
HC_PERRO_0048,data/audios/HC_PERRO_0048.wav,0
HC_I1_0048,data/audios/HC_I1_0048.wav,0
HC_PAN_VINO_0048,data/audios/HC_PAN_VINO_0048.wav,0
HC_U1_0048,data/audios/HC_U1_0048.wav,0
HC_PETACA_BLANCA_0048,data/audios/HC_PETACA_BLANCA_0048.wav,0
HC_BURRO_0048,data/audios/HC_BURRO_0048.wav,0
HC_ACAMPADA_0048,data/audios/HC_ACAMPADA_0048.wav,0
HC_O2_0048,data/audios/HC_O2_0048.wav,0
HC_I2_0049,data/audios/HC_I2_0049.wav,0
HC_A1_0049,data/audios/HC_A1_0049.wav,0
HC_PERRO_0049,data/audios/HC_PERRO_0049.wav,0
HC_BARBAS_0049,data/audios/HC_BARBAS_0049.wav,0
HC_TOMAS_0049,data/audios/HC_TOMAS_0049.wav,0
HC_CALLE_0049,data/audios/HC_CALLE_0049.wav,0
HC_DIABLO_0049,data/audios/HC_DIABLO_0049.wav,0
HC_I1_0049,data/audios/HC_I1_0049.wav,0
HC_BURRO_0049,data/audios/HC_BURRO_0049.wav,0
HC_U1_0049,data/audios/HC_U1_0049.wav,0
HC_O2_0049,data/audios/HC_O2_0049.wav,0
HC_A2_0049,data/audios/HC_A2_0049.wav,0
HC_CARMEN_0049,data/audios/HC_CARMEN_0049.wav,0
HC_ACAMPADA_0049,data/audios/HC_ACAMPADA_0049.wav,0
HC_PAN_VINO_0049,data/audios/HC_PAN_VINO_0049.wav,0
HC_O1_0049,data/audios/HC_O1_0049.wav,0
HC_PATATA_BLANDA_0049,data/audios/HC_PATATA_BLANDA_0049.wav,0
HC_MANGA_0049,data/audios/HC_MANGA_0049.wav,0
HC_ABLANDADA_0049,data/audios/HC_ABLANDADA_0049.wav,0
HC_SOMBRA_0049,data/audios/HC_SOMBRA_0049.wav,0
HC_GANGA_0049,data/audios/HC_GANGA_0049.wav,0
HC_E2_0049,data/audios/HC_E2_0049.wav,0
HC_PETACA_BLANCA_0049,data/audios/HC_PETACA_BLANCA_0049.wav,0
HC_PIDIO_0049,data/audios/HC_PIDIO_0049.wav,0
HC_A2_0051,data/audios/HC_A2_0051.wav,0
HC_ACAMPADA_0051,data/audios/HC_ACAMPADA_0051.wav,0
HC_I1_0051,data/audios/HC_I1_0051.wav,0
HC_CARMEN_0051,data/audios/HC_CARMEN_0051.wav,0
HC_PAN_VINO_0051,data/audios/HC_PAN_VINO_0051.wav,0
HC_TOMAS_0051,data/audios/HC_TOMAS_0051.wav,0
HC_PATATA_BLANDA_0051,data/audios/HC_PATATA_BLANDA_0051.wav,0
HC_SOMBRA_0051,data/audios/HC_SOMBRA_0051.wav,0
HC_E2_0051,data/audios/HC_E2_0051.wav,0
HC_BURRO_0051,data/audios/HC_BURRO_0051.wav,0
